chrAll chrX chrY Label
Chondrocyte_day14_Maass.run20 0.0563293952155704 0.0544541224273291 0.0162469159230764 female
Chondrocyte_day14_Maass.run21 0.0564042344705669 0.0544368641310344 0.0162483837510396 female
Chondrocyte_day14_Maass.run22 0.0564038187418998 0.0545286798053805 0.0162549540285893 female
Chondrocyte_day14_Maass.run23 0.0559854869345721 0.0540416215890071 0.0159356839724457 female
Chondrocyte_day14_Maass.run3 0.0662014976392407 0.0570102023575294 0.02170031618587 female
Chondrocyte_day14_Maass.run4 0.0506849400287439 0.0492330039506631 0.0152556602460551 female
Chondrocyte_day14_Maass.run5 0.0509409457125612 0.0494976589310129 0.015376878372018 female
Chondrocyte_day14_Maass.run6 0.0509901551681349 0.0494445510582338 0.0154039283444831 female
Chondrocyte_day14_Maass.run7 0.0511548250401109 0.0495955627529565 0.0152213759786284 female
Chondrocyte_day14_Maass.run8 0.0484072164373995 0.0469659956769666 0.0140081287963121 female
Chondrocyte_day14_Maass.run9 0.0485133313135964 0.0470404953778303 0.0140412947186239 female
Chondrocyte_day21_Maass.run1 0.0430949998602637 0.0409141911163737 0.0119900925107311 female
Chondrocyte_day21_Maass.run10 0.0484069589378199 0.0457425535786628 0.0140575107227891 female
Chondrocyte_day21_Maass.run11 0.0485900772977613 0.0459381305137989 0.0141281936288753 female
Chondrocyte_day21_Maass.run12 0.0463634051620598 0.0438225889437509 0.0132946071389036 female
Chondrocyte_day21_Maass.run13 0.0548691618342827 0.0552033106449434 0.0185121938497484 female
Chondrocyte_day21_Maass.run14 0.0551531114009102 0.0555335574049354 0.01862285759369 female
Chondrocyte_day21_Maass.run15 0.0550349253784044 0.0554368391696292 0.0186143651604742 female
Chondrocyte_day21_Maass.run16 0.0568900024561861 0.0571481149220529 0.0191031868205125 female
Chondrocyte_day21_Maass.run17 0.0486634264442839 0.0450360913400298 0.0144372413117035 female
Chondrocyte_day21_Maass.run18 0.0487317305691714 0.0450990620119168 0.0145314444134861 female
Chondrocyte_day21_Maass.run19 0.0488824810806056 0.0451748370194877 0.0145175000478355 female
Chondrocyte_day21_Maass.run2 0.0432787334254826 0.0410693876114976 0.0120736363856379 female
Chondrocyte_day21_Maass.run20 0.0472080610592631 0.0436917963076282 0.0137972158973107 female
Chondrocyte_day21_Maass.run21 0.0573313716226417 0.0574420378709055 0.0194590477308821 female
Chondrocyte_day21_Maass.run22 0.0574941637123507 0.0575487022168131 0.0195293112575503 female
Chondrocyte_day21_Maass.run23 0.0573521777308347 0.0574513367152887 0.0194609524124059 female
